"","TCSER","hUSI","Group"
"TCGA.GD.A3OQ.01",-0.168639529520725,0.414834933954468,"BLCA"
"TCGA.DK.A3WW.01",-0.387601756134062,0.442204775888634,"BLCA"
"TCGA.PQ.A6FI.01",-0.909601397599731,0.191137646649391,"BLCA"
"TCGA.BL.A5ZZ.01",-0.00862518613781116,0.458363085804388,"BLCA"
"TCGA.E7.A5KE.01",-0.633631888593041,0.381015027992994,"BLCA"
"TCGA.FD.A3SQ.01",1.13046109620779,0.61646839802087,"BLCA"
"TCGA.DK.A1AG.01",0.33583133216717,0.522870409449252,"BLCA"
"TCGA.DK.A3IT.01",-0.303061477593352,0.38299830534218,"BLCA"
"TCGA.BT.A20R.11",0.733642623501833,0.662110212585095,"BLCA"
"TCGA.XF.AAMR.01",0.844754831801199,0.573327008182683,"BLCA"
"TCGA.HQ.A5NE.01",0.00617020287105846,0.476289210638442,"BLCA"
"TCGA.ZF.AA52.01",0.383874522520264,0.449662976319008,"BLCA"
"TCGA.E7.A541.01",-0.387604706472388,0.393248615609722,"BLCA"
"TCGA.UY.A8OB.01",-0.377219473142385,0.288633662294072,"BLCA"
"TCGA.XF.AAN5.01",-0.30980092938672,0.463888342704415,"BLCA"
"TCGA.E7.A97P.01",-0.136465684605873,0.440939276482754,"BLCA"
"TCGA.GC.A3RD.01",0.0942312737830341,0.421909373270017,"BLCA"
"TCGA.E7.A7XN.01",-0.445480747312007,0.386853444236539,"BLCA"
"TCGA.GV.A3JX.01",-0.267398929124318,0.364523842459152,"BLCA"
"TCGA.4Z.AA83.01",0.881677802471556,0.638021877236897,"BLCA"
"TCGA.ZF.AA5N.01",0.278271063499032,0.45154405231011,"BLCA"
"TCGA.H4.A2HQ.01",-0.470771079940654,0.39501638014567,"BLCA"
"TCGA.G2.A2EF.01",-0.341981791302095,0.396527309257518,"BLCA"
"TCGA.UY.A9PF.01",0.554372077226713,0.564057608676637,"BLCA"
"TCGA.XF.A9SU.01",0.118262766004673,0.403393863256324,"BLCA"
"TCGA.DK.A3WY.01",-0.622420726234641,0.406047928007987,"BLCA"
"TCGA.5N.A9KM.01",0.804260967443229,0.582808649021324,"BLCA"
"TCGA.DK.AA6T.01",-1.02751197171412,0.222183933423231,"BLCA"
"TCGA.E5.A4TZ.01",-0.647157212756982,0.291185796421442,"BLCA"
"TCGA.FD.A43N.01",0.54015212902744,0.509685305811244,"BLCA"
