"","orig.ident","nCount_RNA","nFeature_RNA","Condition","DAS","mSS","DAS+mSS","lassoCS","CSS","orig.ident","nCount_RNA","nFeature_RNA","Condition","GLB1","TP53","CDKN1A","CDKN2A","LMNB1","IL1A","RB1","CDK1","CDK4","CDK6","MKI67","CDKN2B","orig.ident","nCount_RNA","nFeature_RNA","Condition","SenMayo","CellAge","GenAge","ASIG","SASP","AgingAtlas","SenUp","SigRS","hUSI"
"OSKM_07_S227_L001","OSKM",59226,5408,"Senescence",0.7,0.4375,0.538461538461538,0.206223468089822,0,"OSKM",59226,5408,"Senescence",0.290943893111839,0.156015879937131,0.612058495544921,0.516039442059856,0,0,0.409811842270796,0,0,1.35334778178855,0,0.409811842270796,"OSKM",59226,5408,"Senescence",5.52209138783239,7.64599141038764,8.50858290410833,10.4133353668627,3.78555749103333,9.17635974315214,6.24751892339438,11.1571343256785,0.831024378354066
"OSKM_07_S227_L002","OSKM",68313,5627,"Senescence",0.8,0.4375,0.576923076923077,0.212096154282246,0,"OSKM",68313,5627,"Senescence",0.364056181414194,0.549233569842118,1.16182972764467,0.460925098522893,0,0,0.549233569842118,0,0,1.24948485048644,0.256787236926749,0.549233569842118,"OSKM",68313,5627,"Senescence",5.52400648875063,7.71336032286082,8.51947143010375,10.3774227751201,3.78784076948745,9.15202167987188,6.2813110638945,11.1911132403719,0.847193490471604
"OSKM_08_S228_L001","OSKM",81397,5648,"Senescence",0.5,0.375,0.423076923076923,0.0327688172723772,0,"OSKM",81397,5648,"Senescence",0.115874237871838,0,1.83780777929789,0,0,0,0.684528751010031,1.04479643281953,0,0.399727749330713,2.68354342985294,0.95439946493606,"OSKM",81397,5648,"Senescence",5.67695957600845,7.96481918022482,8.83201235654115,10.6843089162665,3.74951260838652,9.63018402088068,6.03404860699691,11.2213749476765,0.347464848247482
"OSKM_08_S228_L002","OSKM",93193,5796,"Senescence",0.5,0.375,0.423076923076923,0.124041943549771,0.0184490421583901,"OSKM",93193,5796,"Senescence",0,0,1.68630118274497,0.101928409714862,0,0,0.497025952781865,1.21214700235603,0,0.497025952781865,2.59877736178712,0.827525247157322,"OSKM",93193,5796,"Senescence",5.46648846938211,7.95221753596896,8.62871275728392,10.45466323534,3.7290283751858,9.37327280381795,5.94683268267724,11.1511023149682,0.334900861701607
"OSKM_09_S229_L001","OSKM",62511,5688,"Senescence",0.4,0.3125,0.346153846153846,0.00387410837349085,0,"OSKM",62511,5688,"Senescence",0.391985015110831,0,0.494627568637396,0,0,0,0.148395733233444,0,0,1.6407947029251,0.672858280615564,0.391985015110831,"OSKM",62511,5688,"Senescence",5.38643890567604,7.72754160781757,8.28185631979702,10.5060596423908,3.63732477307608,9.04133816139172,6.10792429805323,11.1453949628807,0.710542882177687
"OSKM_09_S229_L002","OSKM",71874,5851,"Senescence",0.5,0.375,0.423076923076923,0.0138204852160731,0,"OSKM",71874,5851,"Senescence",0.245503487142775,0,0.528073138178895,0,0,0,0.130266894163121,0,0,1.74580289135548,0.606932335285943,0.748136643733747,"OSKM",71874,5851,"Senescence",5.47947630560248,7.82605522807768,8.33174780678636,10.484290871799,3.64810284969096,9.04683486291017,6.26173863576762,11.2196971274817,0.676051688734377
"OSKM_10_S230_L001","OSKM",53235,5087,"Senescence",0.2,0.3125,0.269230769230769,0.193730632467782,0,"OSKM",53235,5087,"Senescence",0.754749230493128,0.446951857679405,0.318957374003701,0,0,0,0.17214187056537,0,0,2.04930036363514,0.560407112909487,1.05725661597704,"OSKM",53235,5087,"Senescence",5.78310695804452,7.72823903410114,8.32056672910138,10.4640773673165,3.65358281981015,9.11859662830501,6.30556443422338,10.9974977210665,0.690316141287464
"OSKM_10_S230_L002","OSKM",61517,5257,"Senescence",0.5,0.3125,0.384615384615385,0.172900441731314,0,"OSKM",61517,5257,"Senescence",0.901384270496371,0.594863486267105,0.500912712763108,0,0,0,0.150621624297796,0,0,2.21132849038753,0.397211187994975,0.759822561449768,"OSKM",61517,5257,"Senescence",5.66313315392005,7.86115704317081,8.53913354340468,10.5765307028335,3.54509603449756,9.26743679232589,6.29952329916775,11.1955549143637,0.684751355367769
"OSKM_11_S231_L001","OSKM",69934,5682,"Senescence",0.4,0.375,0.384615384615385,0.0329609013886339,0.0632295093948949,"OSKM",69934,5682,"Senescence",0.6194746890914,0.133649354036979,1.45601051031554,0,0,0,0.251524127839399,0.133649354036979,0,0.94503817684777,0.133649354036979,0.133649354036979,"OSKM",69934,5682,"Senescence",5.51803606527347,7.53363798773708,8.30289028605874,10.344067098945,3.97330054772625,8.90087326210343,6.34420187905166,11.2486003120597,0.951446219069172
"OSKM_11_S231_L002","OSKM",81015,5920,"Senescence",0.4,0.375,0.384615384615385,0.100528526924218,0.10662923354075,"OSKM",81015,5920,"Senescence",0.55423194498566,0.401280182142659,1.40752936885785,0,0,0,0.220634697952542,0.116390005384898,0,1.13087837558938,0.116390005384898,0.220634697952542,"OSKM",81015,5920,"Senescence",5.39103604358268,7.51146859445387,8.27608918300827,10.2901248271121,3.99480810919265,8.93860770128267,6.41337245979672,11.3438159994478,0.984661891147957
