"","orig.ident","nCount_RNA","nFeature_RNA","celltype","hUSI","subtype","TSNE_1","TSNE_2"
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.G02.S266.comb","SeuratProject",12346.4860285,4141,"T cell",0.567737630728387,"T cell",2.18019362876948,12.9948072121134
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.H07.S571.comb","SeuratProject",9193.511388,3100,"B cell",0.527818688435856,"B cell",15.5948416906826,23.2733638781344
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.F05.S449.comb","SeuratProject",8564.97109,2395,"T cell",0.585466566394814,"T cell",-5.45557534810077,3.63501186127384
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.D03.S519.comb","SeuratProject",8884.593395,2400,"B cell",0.535746054653804,"B cell",14.4508513430079,24.1088726878583
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.D07.S523.comb","SeuratProject",8578.11873430001,2101,"B cell",0.46415407402076,"B cell",15.5556360123559,23.9980354661423
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.F04.S256.comb","SeuratProject",11807.257513,3599,"T cell",0.604511633323979,"T cell",10.3298091304077,2.69132362190775
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.D12.S528.comb","SeuratProject",9344.83466550002,2590,"T cell",0.521527251216873,"T cell",10.0270182663896,-13.7078360355253
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.D03.S231.comb","SeuratProject",10700.87328,3303,"T cell",0.527827256038169,"T cell",-3.68034839798966,-5.13693515128242
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.B04.S208.comb","SeuratProject",11958.6257636,3727,"T cell",0.564842566944904,"T cell",2.49186762227324,12.3374448971639
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.C02.S506.comb","SeuratProject",10620.1295193,3768,"T cell",0.546091879315077,"T cell",11.0529955803024,-10.847208601819
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.C06.S414.comb","SeuratProject",8224.0166516,2122,"T cell",0.527252511245018,"T cell",-0.820442062922876,-2.1561659929815
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.E08.S536.comb","SeuratProject",9928.560708,2793,"T cell",0.509458108422015,"T cell",7.6247148000213,-11.7341132924782
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.D10.S238.comb","SeuratProject",10755.9435078,3507,"T cell",0.588931897684398,"T cell",2.28005445009407,10.1296705126576
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.B07.S403.comb","SeuratProject",9680.34615180002,2496,"T cell",0.636985528759543,"T cell",-4.02989177197532,-6.15960140459132
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.H11.S287.comb","SeuratProject",13871.955686,5676,"T cell",0.293494256867587,"T cell",-1.72753334711011,22.5233037892597
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.B10.S502.comb","SeuratProject",9345.38616600001,2873,"B cell",0.481613921978639,"B cell",18.23689125017,21.9419073742114
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.B06.S402.comb","SeuratProject",9001.21334999997,2405,"T cell",0.657889181718722,"T cell",-1.30682005131594,-9.77562663110805
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.G08.S464.comb","SeuratProject",12208.8415735,4244,"T cell",0.336922174164133,"T cell",-2.59820620241632,22.0993472865993
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.F06.S450.comb","SeuratProject",8347.58550230001,2124,"T cell",0.59487633493923,"T cell",-4.14796169818076,3.13827405237259
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.C08.S512.comb","SeuratProject",9458.6334253,2789,"B cell",0.48868797915075,"B cell",14.4471784163835,22.2317659941143
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.E05.S533.comb","SeuratProject",9427.12783949998,2497,"B cell",0.444778067848272,"B cell",14.5123142184632,22.2532368575988
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.G11.S563.comb","SeuratProject",10263.156773,3323,"B cell",0.537652121996011,"B cell",18.1896196903397,20.3309843106202
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.E12.S444.comb","SeuratProject",7581.871883,2341,"T cell",0.564432904628485,"T cell",-0.693252135525632,-0.066501347346092
"cy79.p1.CD45.pos.PD1.pos.AS.C5.R1.B10.S214.comb","SeuratProject",10669.773196,3243,"T cell",0.589336545972199,"T cell",13.1292221383851,-7.0120414022123
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.D08.S428.comb","SeuratProject",9373.58807000002,2927,"T cell",0.600044661136194,"T cell",-5.6309534458277,5.44793671035286
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.F03.S543.comb","SeuratProject",10708.927382,3083,"B cell",0.502475207819573,"B cell",17.4588734200479,19.7975229764553
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.E12.S540.comb","SeuratProject",10572.030696,3094,"B cell",0.527189574016707,"B cell",17.7356148568356,19.9076301291499
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.F02.S446.comb","SeuratProject",11026.743271,3971,"T cell",0.552460789902636,"T cell",9.52284693420045,-5.61061279255306
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.G07.S463.comb","SeuratProject",7877.36812399998,2023,"T cell",0.598152178751785,"T cell",-1.02078892453986,-2.8528041049258
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.B09.S405.comb","SeuratProject",11197.409396,3557,"T cell",0.558591130997197,"T cell",-6.45785495261021,15.0319911491968
"cy79.p3.CD45.pos.PD1.pos.AS.C2.R1.D01.S421.comb","SeuratProject",8529.57002999998,2210,"T cell",0.524975836747664,"T cell",-9.51995191450467,3.67679612589002
"cy79.p1.CD45.pos.PD1.neg.AS.C1.R2.E03.S531.comb","SeuratProject",9355.127248,2447,"B cell",0.519122798876403,"B cell",16.4784383021868,21.5167984619345
