"","Teo2019.method","Teo2019.unit","Teo2019.AUC","Tang2019.method","Tang2019.unit","Tang2019.AUC","Aarts2017.method","Aarts2017.unit","Aarts2017.AUC"
"125","SERPINE1","Fold05.Rep3",0.201327627825324,"SERPINE1","Fold05.Rep3",0.69828800154321,"SERPINE1","Fold05.Rep3",0.314043209876543
"126","hUSI","Fold06.Rep3",0.845376287987479,"hUSI","Fold06.Rep3",0.82467399691358,"hUSI","Fold06.Rep3",0.929976851851852
"127","CDKN1A","Fold06.Rep3",0.719533933307247,"CDKN1A","Fold06.Rep3",0.706131365740741,"CDKN1A","Fold06.Rep3",0.667631172839506
"128","CDKN2A","Fold06.Rep3",0.700980392156863,"CDKN2A","Fold06.Rep3",0.460135030864198,"CDKN2A","Fold06.Rep3",0.474729938271605
"129","CDKN2B","Fold06.Rep3",0.76283639841746,"CDKN2B","Fold06.Rep3",0.493960262345679,"CDKN2B","Fold06.Rep3",0.763888888888889
"130","SERPINE1","Fold06.Rep3",0.198404417199252,"SERPINE1","Fold06.Rep3",0.696362847222222,"SERPINE1","Fold06.Rep3",0.296296296296296
"131","hUSI","Fold07.Rep3",0.858204388495498,"hUSI","Fold07.Rep3",0.831427469135802,"hUSI","Fold07.Rep3",0.923996913580247
"132","CDKN1A","Fold07.Rep3",0.73950957251508,"CDKN1A","Fold07.Rep3",0.709926697530864,"CDKN1A","Fold07.Rep3",0.66724537037037
"133","CDKN2A","Fold07.Rep3",0.690903925168284,"CDKN2A","Fold07.Rep3",0.458966049382716,"CDKN2A","Fold07.Rep3",0.473572530864197
"134","CDKN2B","Fold07.Rep3",0.75788967567095,"CDKN2B","Fold07.Rep3",0.496020447530864,"CDKN2B","Fold07.Rep3",0.758487654320988
"135","SERPINE1","Fold07.Rep3",0.207000174840458,"SERPINE1","Fold07.Rep3",0.694385609567901,"SERPINE1","Fold07.Rep3",0.319058641975309
"136","hUSI","Fold08.Rep3",0.860245206730142,"hUSI","Fold08.Rep3",0.831786265432099,"hUSI","Fold08.Rep3",0.914351851851852
"137","CDKN1A","Fold08.Rep3",0.72584887613582,"CDKN1A","Fold08.Rep3",0.709693287037037,"CDKN1A","Fold08.Rep3",0.664930555555556
"138","CDKN2A","Fold08.Rep3",0.707817051432546,"CDKN2A","Fold08.Rep3",0.458134645061728,"CDKN2A","Fold08.Rep3",0.471064814814815
"139","CDKN2B","Fold08.Rep3",0.752706404069388,"CDKN2B","Fold08.Rep3",0.493993055555556,"CDKN2B","Fold08.Rep3",0.768518518518518
"140","SERPINE1","Fold08.Rep3",0.191632972479457,"SERPINE1","Fold08.Rep3",0.696987847222222,"SERPINE1","Fold08.Rep3",0.30883487654321
"141","hUSI","Fold09.Rep3",0.850948509485095,"hUSI","Fold09.Rep3",0.830931712962963,"hUSI","Fold09.Rep3",0.91454475308642
"142","CDKN1A","Fold09.Rep3",0.732953055337005,"CDKN1A","Fold09.Rep3",0.715850694444444,"CDKN1A","Fold09.Rep3",0.688078703703704
"143","CDKN2A","Fold09.Rep3",0.689964157706093,"CDKN2A","Fold09.Rep3",0.460118634259259,"CDKN2A","Fold09.Rep3",0.454282407407407
"144","CDKN2B","Fold09.Rep3",0.750961622519451,"CDKN2B","Fold09.Rep3",0.495368441358025,"CDKN2B","Fold09.Rep3",0.762152777777778
"145","SERPINE1","Fold09.Rep3",0.199208846927179,"SERPINE1","Fold09.Rep3",0.702597415123457,"SERPINE1","Fold09.Rep3",0.315586419753086
"146","hUSI","Fold10.Rep3",0.853565942506035,"hUSI","Fold10.Rep3",0.821830632716049,"hUSI","Fold10.Rep3",0.91724537037037
"147","CDKN1A","Fold10.Rep3",0.728681149879307,"CDKN1A","Fold10.Rep3",0.711369598765432,"CDKN1A","Fold10.Rep3",0.693094135802469
"148","CDKN2A","Fold10.Rep3",0.69815668202765,"CDKN2A","Fold10.Rep3",0.457612847222222,"CDKN2A","Fold10.Rep3",0.480516975308642
"149","CDKN2B","Fold10.Rep3",0.762201009436032,"CDKN2B","Fold10.Rep3",0.496699459876543,"CDKN2B","Fold10.Rep3",0.775077160493827
"150","SERPINE1","Fold10.Rep3",0.207592714505157,"SERPINE1","Fold10.Rep3",0.686077353395062,"SERPINE1","Fold10.Rep3",0.302469135802469
