"","weight","set"
"AC073283.3",-0.00227143274489088,"Other"
"AC073508.2",-0.00362804781096328,"Other"
"AC073610.2",0.015738662290273,"Other"
"AC073612.1",0.009893875182647,"Other"
"AC073896.1",-0.00215806092637339,"Other"
"AC074143.1",0.00174911909890762,"Other"
"AC074143.2",0.00095876257614337,"Other"
"AC078927.1",0.00989567570378544,"Other"
"AC079447.1",0.0019205800181511,"Other"
"AC079594.2",-0.00855833131677495,"Other"
"AC080038.1",0.00157351002945406,"Other"
"AC084337.2",-0.00346542245393852,"Other"
"AC087289.1",-0.00118308520958261,"Other"
"AC087289.4",-0.00187624936312536,"Other"
"AC087632.1",-0.00958662783618465,"Other"
"AC087721.2",-0.00404510256322465,"Other"
"AC090004.1",0.000885618670257413,"Other"
"AC090517.4",-0.00628794441659304,"Other"
"AC090527.2",0.00513489973170528,"Other"
"AC091021.1",0.00101842670232523,"Other"
"AC091057.6",-0.00169169425120276,"Other"
"AC091551.1",0.0012611649139389,"Other"
"AC091959.3",-0.00356534017606389,"Other"
"AC092042.3",-0.0113815512359273,"Other"
"AC092072.1",-0.000121216407260549,"Other"
"AC092073.1",2.54405949109083e-06,"Other"
"AC092143.1",-0.0136353185690211,"Other"
"AC092161.1",0.000628206861799345,"Other"
"AC092338.1",-0.000463610515413876,"Other"
"AC092587.1",0.0134297604124469,"Other"
"AC092647.5",-0.00699516204186101,"Other"
"AC092718.3",0.00253869881039466,"Other"
"AC092724.1",-0.00304521547794872,"Other"
"AC092835.1",-0.00167663302246807,"Other"
"AC092881.1",0.000481326956693736,"Other"
"AC093323.1",0.000449787045777522,"Other"
"AC093423.3",-0.0111557817863589,"Other"
"AC093512.2",-0.00416374296268986,"Other"
"AC093525.1",-0.00092074476355637,"Other"
"AC093525.2",0.000286989321217326,"Other"
"AC093668.1",0.0052567160675122,"Other"
"AC093668.2",-0.00392151788653348,"Other"
"AC093827.5",-0.00106842806796116,"Other"
"AC093884.1",0.0152348044964965,"Other"
"AC093899.2",0.0123639293742802,"Other"
"AC098484.3",0.00381459115767035,"Other"
"AC098582.1",-0.00222267215403657,"Other"
"AC098850.3",-0.00242670393034804,"Other"
"AC099811.2",-0.00163954484869408,"Other"
"AC099850.2",-0.00330330735400344,"Other"
"AC104109.3",-0.0110964990869475,"Other"
"AC104389.5",-0.00196868781552053,"Other"
"AC104452.1",0.000910948601470105,"Other"
"AC105052.1",0.00194692045391193,"Other"
"AC105052.3",9.77615127691199e-05,"Other"
"AC106886.5",-0.00242412905783557,"Other"
