"","method.DAS","method.mSS","method.DAS_mSS","method.lassoCS","method.CSS","marker.GLB1","marker.TP53","marker.CDKN1A","marker.CDKN2A","marker.LMNB1","marker.IL1A","marker.RB1","marker.CDK1","marker.CDK4","marker.MKI67","marker.CDKN2B","ssgsea.SenMayo","ssgsea.CellAge","ssgsea.GenAge","ssgsea.ASIG","ssgsea.SASP","ssgsea.AgingAtlas","ssgsea.SenUp","ssgsea.SigRS","hUSI","Condition"
"Hs_KCNA5_6.Rep3",0.916666666666667,0.6875,0.785714285714286,-0.0452717234662313,0.12760218806757,0.684328906401487,0.0448624262309542,2.20708311828789,0.305732305451275,0,0.0371722145799263,0.105571544570229,0.0910864822030057,1.1897684804272,0.0070104155642622,0.204821991839497,1.62866891778066,4.43163415594021,6.30343447296018,5.88162707515272,5.06989272977181,4.96621091814329,5.30144757709207,4.94532997801634,0.0934389451864108,"Senescence"
"Hs_KCNQ4_1.Rep1",0.916666666666667,0.6875,0.785714285714286,-0.127712022271759,0.167510464813119,0.781329598245391,0.0672647656390907,2.69784860141339,0.293181896085178,0,0.11672997155868,0.0896547119626091,0.011193993458996,1.34535165181983,0.00172686829639078,0.225462233268107,1.71667746530817,4.94398751147706,6.35777591067371,6.0176176710665,5.08711622312704,5.07589069658303,5.38205238166916,5.08561753575743,0.100474603503969,"Senescence"
"Hs_KCNQ4_1.Rep2",0.916666666666667,0.6875,0.785714285714286,-0.0841115193226301,0.163763926394552,0.802130124775895,0.0483979083165726,2.5490302476973,0.346022909330619,0,0.0633783326573942,0.193096968023616,0.0538397397059541,1.18938761264507,0.00612450542182714,0.211679338203132,1.81158912044942,4.87030362792401,6.3719954980933,6.0124089763143,5.31949475980228,5.10323866099837,5.42508574792654,5.08025940366289,0.0943354855487537,"Senescence"
"Hs_KCNQ4_1.Rep3",0.916666666666667,0.6875,0.785714285714286,-0.115431915308779,0.172584298742198,0.969658397122906,0.0643915408858958,2.62625184400408,0.454913117412802,0,0.154704533808872,0.091202077327217,0.0708014606015346,1.37403129556769,0.00339243464884727,0.261923403737245,1.9172607714813,4.8405020440097,6.25742941566358,6.11913377368139,5.4427502292414,5.09902861831111,5.45444268558296,5.18384505605406,0.087161457671294,"Senescence"
"Hs_KCNQ4_4.Rep1",0.916666666666667,0.6875,0.785714285714286,0.000925800022487684,0.121391792584972,0.5120174827246,0.0396551600498584,2.50068626508564,0.379115280762315,0,0.206677988334379,0.122802148924258,0.0897263838049041,1.24577931690193,0.000910250143368937,0.285483049504457,1.869189749771,4.81601031090908,6.11428380670387,6.00558487232018,5.4054835394648,4.96950675405983,5.24592323370938,5.09440049797818,0.0965749477158827,"Senescence"
"Hs_KCNQ4_4.Rep2",0.916666666666667,0.6875,0.785714285714286,-0.0690248944120603,0.159598092501598,0.722451214147516,0.0383923247505765,2.56639594568173,0.519744928135086,0,0.13154487524527,0.0673858261019954,0.0603755688762946,1.30311275447449,0.00356634955576799,0.200504094074813,1.83471914335223,4.89809012015202,6.25014887359751,6.13109658242431,5.48953040050308,5.01098474424456,5.38851672550275,5.01200687894141,0.0971647221889364,"Senescence"
"Hs_KCNQ4_4.Rep3",0.833333333333333,0.6875,0.75,-0.100936245831805,0.11852000559115,0.83506262343722,0.0381725207541629,2.36558307299984,0.276133125202221,0,0.100884558421932,0.10343029642086,0.026387683339253,1.17381863869886,0.00119003994921805,0.157407266317635,1.78550977416673,4.75725516250091,6.0642899852553,5.96161716188469,5.20662728940554,4.88444117869754,5.32503792613722,4.92364233267634,0.10766523713797,"Senescence"
"Hs_LNX2_5.Rep1",0.916666666666667,0.6875,0.785714285714286,-0.130036316328485,0.158271323053115,0.610489342447737,0.0293446356979342,2.12684743944191,0.278748016854452,0,0.0945495861999917,0.36341978912976,0.0698321539977697,0.916783632338047,0,0.262727682344647,1.90490747636117,4.85685155992223,6.42015187088538,6.09544559162145,5.35459280695324,5.187955727101,5.5548032698504,5.24505777158809,0.109745037451299,"Senescence"
"Hs_LNX2_5.Rep2",0.916666666666667,0.6875,0.785714285714286,-0.173285034491377,0.153613591800101,0.626520941025681,0.0262131447025329,2.29240225837075,0.418964035918043,0,0.100158813649774,0.175799801584149,0.0368291159204442,0.954986313687993,0.0014190015859609,0.361012833286248,1.90789491194311,4.80551571118334,6.35242932454486,6.04940686413621,5.28892200310789,5.2046411098399,5.54530303361304,5.12594370572527,0.112400026202817,"Senescence"
"Hs_LNX2_5.Rep3",0.916666666666667,0.6875,0.785714285714286,-0.180150950029534,0.116892521770348,0.547261118945783,0.0275043204060361,2.05184378334026,0.229507806726469,0,0.148015072627514,0.229684610111572,0.114018853813212,0.726466785115218,0,0.418110719620554,1.94932339501787,4.85148196635619,6.12814281373127,5.94271635377934,5.33965419683595,4.98678092151502,5.53349421243707,5.18462296194215,0.118009292912059,"Senescence"
