"","expression","weight","gene","threshold"
"AC005520.1",-0.0612932392286202,-0.000843765395759429,"AC005520.1","Negative"
"AC005747.1",0.0449864055428085,0.00193024498131842,"AC005747.1","Positive"
"AC005833.1",-0.00321020897787643,0.000657531335634758,"AC005833.1","Positive"
"AC005840.1",0.0149278245276902,-0.000302738405419551,"AC005840.1","Negative"
"AC005943.1",-0.0924405980101298,-0.00566374935430565,"AC005943.1","Negative"
"AC005954.1",-0.00615532312810739,0.000635319377695787,"AC005954.1","Positive"
"AC006059.2",-0.0195284996820927,-0.00633673324617091,"AC006059.2","Negative"
"AC006064.6",-0.0907263443545712,-0.00123888312711288,"AC006064.6","Negative"
"AC006486.1",-0.153439632967777,-0.00942312374278454,"AC006486.1","Negative"
"AC006538.1",-0.0299436686357849,-0.000668042086803058,"AC006538.1","Negative"
"AC006538.3",0.0338246508923683,0.00275192948340654,"AC006538.3","Positive"
"AC007040.2",-0.065860241177891,0.00190778373707161,"AC007040.2","Positive"
"AC007192.1",0.0574882417436018,0.0055071194050292,"AC007192.1","Positive"
"AC007731.4",-0.0727469465789413,-0.00601069231684892,"AC007731.4","Negative"
"AC007906.2",0.0182634132497043,0.00148738083136563,"AC007906.2","Positive"
"AC008554.1",0.0264776764660185,0.00314485436913659,"AC008554.1","Positive"
"AC008687.4",-0.222742753028785,-0.0031270460938348,"AC008687.4","Negative"
"AC008687.8",-0.0739598675285634,0.00190994582237809,"AC008687.8","Positive"
"AC008750.8",-0.158623682328999,-0.0149921794834301,"AC008750.8","Negative"
"AC008755.1",-0.0366353147752403,-0.00151744127342758,"AC008755.1","Negative"
"AC008763.3",-0.0480547254555704,-0.00464629657038951,"AC008763.3","Negative"
"AC008764.1",0.079932553251385,0.0117273608782225,"AC008764.1","Positive"
"AC008764.4",-0.0865112091606508,-0.00763670121471019,"AC008764.4","Negative"
"AC008770.2",-0.0454051057321756,-0.00803821167126058,"AC008770.2","Negative"
"AC008770.4",-0.0604481776641641,-0.0113571289010439,"AC008770.4","Negative"
"AC008878.1",-0.0241696943663106,-0.000833533898317585,"AC008878.1","Negative"
"AC008982.1",-0.178033560130732,-0.0130897128982954,"AC008982.1","Negative"
"AC009133.6",-0.0911814994960691,-0.00267132043365573,"AC009133.6","Negative"
"AC009163.4",-0.0350551642911239,-0.00560992568864086,"AC009163.4","Negative"
"AC009412.1",-0.0363062827381993,-0.00227880281027951,"AC009412.1","Negative"
"AC009690.1",-0.00299520018044639,-4.74930629184402e-05,"AC009690.1","Negative"
"AC009779.3",0.00606370869713067,0.00407223475843599,"AC009779.3","Positive"
"AC009879.3",0.0886512887609685,0.00795328175636333,"AC009879.3","Positive"
"AC010132.3",-0.0369978775114289,-0.00459635290685618,"AC010132.3","Negative"
"AC010323.1",-0.0863274200962641,-0.00577999851672926,"AC010323.1","Negative"
"AC010327.1",0.0849186911362069,0.00300279602372604,"AC010327.1","Positive"
"AC010422.3",-0.0213838495192295,0.000451255039644526,"AC010422.3","Positive"
"AC010422.5",0.141888131098798,0.00932411531663033,"AC010422.5","Positive"
"AC010422.6",0.188641642273861,0.0114184648496968,"AC010422.6","Positive"
"AC010422.8",-0.0015967695722785,0.000386143334377705,"AC010422.8","Positive"
"AC010522.1",-0.0961553554071518,-0.00190390763701764,"AC010522.1","Negative"
"AC010531.1",0.0538206492675043,0.00195607437490225,"AC010531.1","Positive"
"AC010547.4",0.0582412294742566,0.00228828801050579,"AC010547.4","Positive"
