"","w"
"AC015813.2",-0.00109686455611295
"AC016586.1",-0.000362404409800214
"AC018523.2",-0.00108557926379903
"AC018630.2",-0.00126516148449188
"AC019257.8",0.00915992652102742
"AC020909.1",-0.00205433269956045
"AC020915.5",0.00621949487269374
"AC021087.5",0.000101468432970425
"AC022137.3",0.00151949302540593
"AC022384.1",-0.00434700349630003
"AC022400.7",-0.0035816987913981
"AC022506.1",0.00127798735436499
"AC022826.2",0.00555755201546342
"AC022966.1",-0.000118446624505637
"AC023055.1",-0.00358007934027012
"AC024592.3",-0.00029986582941477
"AC025165.3",-0.000549946262635183
"AC025165.6",-0.0115063384628201
"AC026464.3",0.00404913935790821
"AC026464.4",-0.0103783927933718
"AC026464.6",0.00322251588537386
"AC026470.1",-0.000409211467505786
"AC026954.2",-0.00153839410756318
"AC027237.1",-0.00335918630091743
"AC027644.4",-0.00083354195440081
"AC027796.3",-0.00997888880785774
"AC034102.1",0.00178048469014103
"AC037459.1",-0.0045503172300687
"AC040162.1",-0.00154239769127469
"AC046185.1",0.00427319667696467
"AC048338.1",0.00173789068659581
"AC055839.2",-0.00170053957058251
"AC058822.1",-0.0192662431832643
"AC067968.1",-0.00476039534382918
"AC068234.1",0.0128467029743258
"AC068533.4",0.0107235859655528
"AC068580.4",0.00491150935047177
"AC068631.2",0.00506664448482709
"AC068831.7",-0.00162002213866323
"AC068896.1",0.00021285977786305
"AC068946.1",0.00618899102575754
"AC068946.2",0.0010943325293661
"AC069257.3",-0.00836295050445171
"AC069288.1",-0.00240854029232865
"AC069368.1",-0.00309450142233063
"AC069503.2",0.00685579783482199
"AC073111.4",0.00149923607117565
"AC073283.3",-0.00227143274489088
"AC073508.2",-0.00362804781096328
"AC073610.2",0.015738662290273
"AC073612.1",0.009893875182647
"AC073896.1",-0.00215806092637339
"AC074143.1",0.00174911909890762
"AC074143.2",0.00095876257614337
"AC078927.1",0.00989567570378544
"AC079447.1",0.0019205800181511
"AC079594.2",-0.00855833131677495
"AC080038.1",0.00157351002945406
"AC084337.2",-0.00346542245393852
"AC087289.1",-0.00118308520958261
"AC087289.4",-0.00187624936312536
"AC087632.1",-0.00958662783618465
"AC087721.2",-0.00404510256322465
"AC090004.1",0.000885618670257413
"AC090517.4",-0.00628794441659304
"AC090527.2",0.00513489973170528
"AC091021.1",0.00101842670232523
"AC091057.6",-0.00169169425120276
"AC091551.1",0.0012611649139389
"AC091959.3",-0.00356534017606389
"AC092042.3",-0.0113815512359273
"AC092072.1",-0.000121216407260549
"AC092073.1",2.54405949109083e-06
"AC092143.1",-0.0136353185690211
"AC092161.1",0.000628206861799345
"AC092338.1",-0.000463610515413876
"AC092587.1",0.0134297604124469
"AC092647.5",-0.00699516204186101
"AC092718.3",0.00253869881039466
"AC092724.1",-0.00304521547794872
"AC092835.1",-0.00167663302246807
"AC092881.1",0.000481326956693736
"AC093323.1",0.000449787045777522
"AC093423.3",-0.0111557817863589
