"","method","unit","AUC","dataset"
"Teo2019.94","LMNB1","Fold06.Rep2",0.372192215363512,"Teo2019"
"Teo2019.95","CDKN2B","Fold06.Rep2",0.773062414266118,"Teo2019"
"Teo2019.96","SERPINE1","Fold06.Rep2",0.275430812757202,"Teo2019"
"Teo2019.97","hUSI","Fold07.Rep2",0.832454561042524,"Teo2019"
"Teo2019.98","CDKN1A","Fold07.Rep2",0.697541580932785,"Teo2019"
"Teo2019.99","CDKN2A","Fold07.Rep2",0.707711762688614,"Teo2019"
"Teo2019.100","LMNB1","Fold07.Rep2",0.373028120713306,"Teo2019"
"Teo2019.101","CDKN2B","Fold07.Rep2",0.775077160493827,"Teo2019"
"Teo2019.102","SERPINE1","Fold07.Rep2",0.27749914266118,"Teo2019"
"Teo2019.103","hUSI","Fold08.Rep2",0.831104252400549,"Teo2019"
"Teo2019.104","CDKN1A","Fold08.Rep2",0.712737911522634,"Teo2019"
"Teo2019.105","CDKN2A","Fold08.Rep2",0.710444530178327,"Teo2019"
"Teo2019.106","LMNB1","Fold08.Rep2",0.375096450617284,"Teo2019"
"Teo2019.107","CDKN2B","Fold08.Rep2",0.777177640603566,"Teo2019"
"Teo2019.108","SERPINE1","Fold08.Rep2",0.275420096021948,"Teo2019"
"Teo2019.109","hUSI","Fold09.Rep2",0.827031893004115,"Teo2019"
"Teo2019.110","CDKN1A","Fold09.Rep2",0.718632115912209,"Teo2019"
"Teo2019.111","CDKN2A","Fold09.Rep2",0.703007115912209,"Teo2019"
"Teo2019.112","LMNB1","Fold09.Rep2",0.372427983539095,"Teo2019"
"Teo2019.113","CDKN2B","Fold09.Rep2",0.776309585048011,"Teo2019"
"Teo2019.114","SERPINE1","Fold09.Rep2",0.280081875857339,"Teo2019"
"Teo2019.115","hUSI","Fold10.Rep2",0.821201989026063,"Teo2019"
"Teo2019.116","CDKN1A","Fold10.Rep2",0.697970250342935,"Teo2019"
"Teo2019.117","CDKN2A","Fold10.Rep2",0.708461934156379,"Teo2019"
"Teo2019.118","LMNB1","Fold10.Rep2",0.372192215363512,"Teo2019"
"Teo2019.119","CDKN2B","Fold10.Rep2",0.777992112482853,"Teo2019"
"Teo2019.120","SERPINE1","Fold10.Rep2",0.272740912208505,"Teo2019"
"Teo2019.121","hUSI","Fold01.Rep3",0.836484053497942,"Teo2019"
"Teo2019.122","CDKN1A","Fold01.Rep3",0.711001800411523,"Teo2019"
"Teo2019.123","CDKN2A","Fold01.Rep3",0.714774091220851,"Teo2019"
"Teo2019.124","LMNB1","Fold01.Rep3",0.366212277091907,"Teo2019"
