Gene,Weight,Derection
RGS11,0.010422547,Positive
CCL2,0.010381023,Positive
TAGLN3,0.010356373,Positive
DKK2,0.01035439,Positive
IFI30,0.010343027,Positive
CUBN,0.010341144,Positive
GPR84,0.010307399,Positive
PCSK1N,0.010306962,Positive
KLHDC9,0.010256638,Positive
INSYN1,0.010256474,Positive
PPP1R36,0.010223998,Positive
SERPINA9,0.01021764,Positive
KLRC3,0.010203387,Positive
DNAJC25-GNG10,0.010187461,Positive
MYRIP,0.010186548,Positive
ICA1,0.010184927,Positive
BAIAP3,0.010173227,Positive
UNC80,0.010172544,Positive
UPK1A,0.01016738,Positive
TGM5,0.010153643,Positive
BRSK1,0.010149605,Positive
MFRP,0.010144333,Positive
CLIC5,0.010117663,Positive
ATP2B2,0.01011519,Positive
CERS1,0.010106423,Positive
CNTFR,0.010060591,Positive
SLC17A8,0.010056351,Positive
PCDH19,0.01005332,Positive
CCND2,0.010044041,Positive
WDR72,0.009979331,Positive
RNF224,0.009977298,Positive
TUNAR,0.009966335,Positive
CALHM6,0.00996556,Positive
NCALD,0.00993804,Positive
PCDHA12,0.009849384,Positive
NDP,0.009847724,Positive
SYCP2L,0.009845415,Positive
NUP210,0.009843057,Positive
IL32,0.009826131,Positive
COLGALT2,0.009816456,Positive
PLEKHS1,0.009815972,Positive
HRK,0.009811655,Positive
DGKI,0.009797955,Positive
TRIM74,0.009795639,Positive
TSACC,0.009792107,Positive
C11orf96,0.009752879,Positive
TSGA10,0.009751827,Positive
RERG,0.009748232,Positive
CTNND2,0.009743843,Positive
KLHL6,0.009711743,Positive
SUSD3,0.009705526,Positive
CLIC2,0.009677975,Positive
SLC2A2,0.009668203,Positive
SPINK1,0.009660442,Positive
IGSF1,0.009650075,Positive
ADORA2A,0.009637663,Positive
JCAD,0.009614556,Positive
STMN2,0.009608406,Positive
TNFSF13B,0.00960765,Positive
C19orf38,0.009598105,Positive
MMP10,0.009584243,Positive
ZBBX,0.009570751,Positive
NKD2,0.00956835,Positive
F11R,0.00956754,Positive
TMEM86A,0.009554034,Positive
DIO3,0.009544772,Positive
TCIM,0.00953239,Positive
ZNF559-ZNF177,0.009517293,Positive
PLCXD3,0.009512696,Positive
SLC24A4,0.009503052,Positive
SLC6A12,0.009496088,Positive
NTRK2,0.009491029,Positive
FBXL16,0.009480009,Positive
PLAAT3,0.009466022,Positive
TMEM35A,0.009456926,Positive
CCND1,0.009450316,Positive
ADGRG5,0.009417075,Positive
RASGRP2,0.009415096,Positive
GRIN2A,0.009410827,Positive
ACE,0.009379746,Positive
ABLIM2,0.009373127,Positive
GABRE,0.009368682,Positive
HAS2,0.009365864,Positive
DAPK1,0.009360702,Positive
COL24A1,0.009347614,Positive
